1 [np.float64(0.001648351802265302), np.float64(0.0014380626239377525), np.float64(0.0010668890687159371), np.float64(0.0004369809126372193), np.float64(4.417183388333301e-05), np.float64(9.022946683401312e-05), np.float64(0.0001328068588347664), np.float64(4.016351088514947e-05), np.float64(0.00016233703484047624)]
2 [np.float64(0.0009063405342577685), np.float64(0.0007951522145006745), np.float64(0.0005925906297928607), np.float64(0.00024337292536200095), np.float64(2.4622392991127673e-05), np.float64(5.030810057819746e-05), np.float64(7.407705831681544e-05), np.float64(2.240936489528167e-05), np.float64(9.060936352989213e-05)]
3 [np.float64(0.0003737622744071044), np.float64(0.0003297501405407875), np.float64(0.0002468607772973669), np.float64(0.00010165843273805819), np.float64(1.0293814823477548e-05), np.float64(2.1037237844953594e-05), np.float64(3.098904710597747e-05), np.float64(9.377534946695965e-06), np.float64(3.793060991378466e-05)]
4 [np.float64(0.00013700874963267027), np.float64(0.00012155369429632697), np.float64(9.141078024391732e-05), np.float64(3.774523417615725e-05), np.float64(3.825338950787412e-06), np.float64(7.819644239699837e-06), np.float64(1.1523388458259745e-05), np.float64(3.4881512851383384e-06), np.float64(1.4114128341221298e-05)]
5 [np.float64(4.708403992615762e-05), np.float64(4.200718616326248e-05), np.float64(3.1733249781745135e-05), np.float64(1.3138694175988388e-05), np.float64(1.3327072831458356e-06), np.float64(2.7249375467522114e-06), np.float64(4.017200122004945e-06), np.float64(1.2163910356824143e-06), np.float64(4.923677363637396e-06)]
6 [np.float64(1.5533583979873114e-05), np.float64(1.3936420204999631e-05), np.float64(1.0575561901426077e-05), np.float64(4.390496201373993e-06), np.float64(4.457289615252165e-07), np.float64(9.115853729496355e-07), np.float64(1.3444293140253759e-06), np.float64(4.072136647646036e-07), np.float64(1.6489077414864515e-06)]
7 [np.float64(4.9823756067585466e-06), np.float64(4.4951625026560155e-06), np.float64(3.426560709243986e-06), np.float64(1.4263977342797928e-06), np.float64(1.449347349080101e-07), np.float64(2.9648565824433163e-07), np.float64(4.3743953492017497e-07), np.float64(1.325369644655859e-07), np.float64(5.368694392017689e-07)]
8 [np.float64(1.56548070000575e-06), np.float64(1.4203183455624457e-06), np.float64(1.087574712847216e-06), np.float64(4.539551227784858e-07), np.float64(4.616568306156215e-08), np.float64(9.446157744606064e-08), np.float64(1.3942583515313647e-07), np.float64(4.2256824154822035e-08), np.float64(1.712324924586843e-07)]
9 [np.float64(4.841956097129239e-07), np.float64(4.4176118224646346e-07), np.float64(3.397980493087466e-07), np.float64(1.4221515108450392e-07), np.float64(1.4475268471305326e-08), np.float64(2.962560829948823e-08), np.float64(4.374506454574766e-08), np.float64(1.3262251670452744e-08), np.float64(5.3760619116652314e-08)]
10 [np.float64(1.4791092251054267e-07), np.float64(1.3570484511059363e-07), np.float64(1.0485476316887376e-07), np.float64(4.400316043299387e-08), np.float64(4.4826925967495565e-09), np.float64(9.176653446932873e-09), np.float64(1.3555634332224918e-08), np.float64(4.110954260232895e-09), np.float64(1.6670450066873193e-08)]
